Individual Men,Gold,Ukraine,South Korea,South Korea
Individual Men,Silver,South Korea,Japan,France
Individual Men,Bronze,Russia,China,United States
Individual Women,Gold,China,South Korea,South Korea
Individual Women,Silver,South Korea,Mexico,Germany
Individual Women,Bronze,South Korea,Mexico,South Korea
Team Men,Gold,South Korea,Italy,South Korea
Team Men,Silver,Italy,United States,United States
Team Men,Bronze,China,China,Australia
Team Women,Gold,South Korea,South Korea,South Korea
Team Women,Silver,China,China,Russia
Team Women,Bronze,France,Japan,Chinese Taipei
