Doubles Mixed,Gold,South Korea,China,Indonesia
Doubles Mixed,Silver,Indonesia,China,Malaysia
Doubles Mixed,Bronze,China,Denmark,China
Singles Men,Gold,China,China,China
Singles Men,Silver,Malaysia,Malaysia,Malaysia
Singles Men,Bronze,China,China,Denmark
Singles Women,Gold,China,China,Spain
Singles Women,Silver,China,China,India
Singles Women,Bronze,Indonesia,India,Japan
Doubles Men,Gold,Indonesia,China,China
Doubles Men,Silver,China,Denmark,Malaysia
Doubles Men,Bronze,South Korea,South Korea,Great Britain
Doubles Women,Gold,China,China,Japan
Doubles Women,Silver,South Korea,Japan,Denmark
Doubles Women,Bronze,China,Russia,South Korea
