Double Sculls Men,Gold,Australia,New Zealand,Croatia
Double Sculls Men,Silver,Estonia,Italy,Lithuania
Double Sculls Men,Bronze,Great Britain,Slovenia,Norway
Double Sculls Women,Gold,New Zealand,Great Britain,Poland
Double Sculls Women,Silver,Germany,Australia,Great Britain
Double Sculls Women,Bronze,Great Britain,Poland,Lithuania
Coxed Eight Men,Gold,Canada,Germany,Great Britain
Coxed Eight Men,Silver,Great Britain,Canada,Germany
Coxed Eight Men,Bronze,United States,Great Britain,Netherlands
Coxed Eight Women,Gold,United States,United States,United States
Coxed Eight Women,Silver,Netherlands,Canada,Great Britain
Coxed Eight Women,Bronze,Romania,Netherlands,Romania
Coxless Four Men,Gold,Great Britain,Great Britain,Great Britain
Coxless Four Men,Silver,Australia,Australia,Australia
Coxless Four Men,Bronze,France,United States,Italy
Lightweight Coxless Four Men,Gold,Denmark,South Africa,Switzerland
Lightweight Coxless Four Men,Silver,Poland,Great Britain,Denmark
Lightweight Coxless Four Men,Bronze,Canada,Denmark,France
Lightweight Double Sculls Men,Gold,Great Britain,Denmark,France
Lightweight Double Sculls Men,Silver,Greece,Great Britain,Ireland
Lightweight Double Sculls Men,Bronze,Denmark,New Zealand,Norway
Lightweight Double Sculls Women,Gold,Netherlands,Great Britain,Netherlands
Lightweight Double Sculls Women,Silver,Finland,China,Canada
Lightweight Double Sculls Women,Bronze,Canada,Greece,China
Coxless Pair Men,Gold,Australia,New Zealand,New Zealand
Coxless Pair Men,Silver,Canada,France,South Africa
Coxless Pair Men,Bronze,New Zealand,Great Britain,Italy
Coxless Pair Women,Gold,Romania,Great Britain,Great Britain
Coxless Pair Women,Silver,China,Australia,New Zealand
Coxless Pair Women,Bronze,Belarus,New Zealand,Denmark
Quadruple Sculls Men,Gold,Poland,Germany,Germany
Quadruple Sculls Men,Silver,Italy,Croatia,Australia
Quadruple Sculls Men,Bronze,France,Australia,Estonia
Quadruple Sculls Women,Gold,China,Ukraine,Germany
Quadruple Sculls Women,Silver,Great Britain,Germany,Netherlands
Quadruple Sculls Women,Bronze,Germany,United States,Poland
Single Sculls Men,Gold,Norway,New Zealand,New Zealand
Single Sculls Men,Silver,Czech Republic,Czech Republic,Croatia
Single Sculls Men,Bronze,New Zealand,Great Britain,Czech Republic
Single Sculls Women,Gold,Bulgaria,Czech Republic,Australia
Single Sculls Women,Silver,United States,Denmark,United States
Single Sculls Women,Bronze,Belarus,Australia,China
