470 Men,Gold,Australia,Australia,Croatia
470 Men,Silver,Great Britain,Great Britain,Australia
470 Men,Bronze,France,Argentina,Greece
470 Women,Gold,Australia,New Zealand,Great Britain
470 Women,Silver,Netherlands,Great Britain,New Zealand
470 Women,Bronze,Brazil,Netherlands,France
49er Mixed,Gold,Denmark,,
49er Mixed,Silver,Spain,,
49er Mixed,Bronze,Germany,,
Finn Mixed,Gold,Great Britain,,
Finn Mixed,Silver,United States,,
Finn Mixed,Bronze,France,,
Laser Men,Gold,Great Britain,Australia,Australia
Laser Men,Silver,Slovenia,Cyprus,Croatia
Laser Men,Bronze,Italy,Sweden,New Zealand
Laser Radial Women,Gold,United States,China,Netherlands
Laser Radial Women,Silver,Lithuania,Netherlands,Ireland
Laser Radial Women,Bronze,China,Belgium,Denmark
RSX Men,Gold,New Zealand,Netherlands,Netherlands
RSX Men,Silver,France,Great Britain,Great Britain
RSX Men,Bronze,Israel,Poland,France
RSX Women,Gold,China,Spain,France
RSX Women,Silver,Italy,Finland,China
RSX Women,Bronze,Great Britain,Poland,Russia
Star Men,Gold,Great Britain,Sweden,
Star Men,Silver,Brazil,Great Britain,
Star Men,Bronze,Sweden,Brazil,
Tornado Mixed,Gold,Spain,,
Tornado Mixed,Silver,Australia,,
Tornado Mixed,Bronze,Argentina,,
Yngling Women,Gold,Great Britain,,
Yngling Women,Silver,Netherlands,,
Yngling Women,Bronze,Greece,,
49er Men,Gold,Australia,New Zealand,
49er Men,Silver,New Zealand,Australia,
49er Men,Bronze,Denmark,Germany,
Elliot 6m Women,Gold,Spain,,
Elliot 6m Women,Silver,Australia,,
Elliot 6m Women,Bronze,Finland,,
Finn Men,Gold,Great Britain,Great Britain,
Finn Men,Silver,Denmark,Slovenia,
Finn Men,Bronze,France,United States,
49erFX Women,Gold,Brazil,,
49erFX Women,Silver,New Zealand,,
49erFX Women,Bronze,Denmark,,
Nacra 17 Mixed,Gold,Argentina,,
Nacra 17 Mixed,Silver,Australia,,
Nacra 17 Mixed,Bronze,Austria,,
