10m Air Pistol Women,Gold,China,China,China
10m Air Pistol Women,Silver,Russia,France,Russia
10m Air Pistol Women,Bronze,Georgia,Ukraine,Greece
10m Air Pistol Men,Gold,China,South Korea,Vietnam
10m Air Pistol Men,Silver,South Korea,Italy,Brazil
10m Air Pistol Men,Bronze,United States,Serbia,China
10m Air Rifle Women,Gold,Czech Republic,China,United States
10m Air Rifle Women,Silver,Russia,Poland,China
10m Air Rifle Women,Bronze,Croatia,China,China
10m Air Rifle Men,Gold,India,Romania,Italy
10m Air Rifle Men,Silver,China,Italy,Ukraine
10m Air Rifle Men,Bronze,Finland,India,Russia
25m Pistol Women,Gold,China,South Korea,Greece
25m Pistol Women,Silver,Mongolia,China,Germany
25m Pistol Women,Bronze,Germany,Ukraine,Switzerland
25m Rapid Fire Pistol Men,Gold,Ukraine,Cuba,Germany
25m Rapid Fire Pistol Men,Silver,Germany,India,France
25m Rapid Fire Pistol Men,Bronze,Germany,China,China
50m Pistol Men,Gold,South Korea,South Korea,South Korea
50m Pistol Men,Silver,China,South Korea,Vietnam
50m Pistol Men,Bronze,Russia,China,North Korea
50m Rifle 3 Positions Women,Gold,China,United States,Germany
50m Rifle 3 Positions Women,Silver,Czech Republic,Serbia,China
50m Rifle 3 Positions Women,Bronze,Cuba,Czech Republic,China
50m Rifle 3 Positions Men,Gold,China,Italy,Italy
50m Rifle 3 Positions Men,Silver,Ukraine,South Korea,Russia
50m Rifle 3 Positions Men,Bronze,Slovenia,United States,France
50m Rifle Prone Men,Gold,Ukraine,Belarus,Germany
50m Rifle Prone Men,Silver,United States,Belgium,South Korea
50m Rifle Prone Men,Bronze,Australia,Slovenia,Russia
Double Trap Men,Gold,United States,Great Britain,Kuwait
Double Trap Men,Silver,Italy,Sweden,Italy
Double Trap Men,Bronze,China,Russia,Great Britain
Skeet Men,Gold,United States,United States,Italy
Skeet Men,Silver,Norway,Denmark,Sweden
Skeet Men,Bronze,France,Qatar,Kuwait
Skeet Women,Gold,Italy,United States,Italy
Skeet Women,Silver,United States,China,Italy
Skeet Women,Bronze,Germany,Slovakia,United States
Trap Men,Gold,Czech Republic,Croatia,Croatia
Trap Men,Silver,Italy,Italy,Italy
Trap Men,Bronze,Russia,Kuwait,Great Britain
Trap Women,Gold,Finland,Italy,Australia
Trap Women,Silver,Slovakia,Slovakia,New Zealand
Trap Women,Bronze,United States,France,United States
