100m Backstroke Men,Gold,United States,United States,United States,,
100m Backstroke Men,Silver,United States,United States,China,,
100m Backstroke Men,Bronze,Australia,Russia,Japan,United States,
100m Backstroke Women,Gold,United States,United States,Hungary,,
100m Backstroke Women,Silver,Zimbabwe,Australia,United States,,
100m Backstroke Women,Bronze,United States,Japan,Canada,China,
100m Breaststroke Men,Gold,Japan,South Africa,Great Britain,,
100m Breaststroke Men,Silver,Norway,Australia,South Africa,,
100m Breaststroke Men,Bronze,France,United States,United States,,
100m Breaststroke Women,Gold,Australia,Lithuania,United States,,
100m Breaststroke Women,Silver,United States,United States,Russia,,
100m Breaststroke Women,Bronze,Austria,Japan,United States,,
100m Butterfly Men,Gold,United States,United States,Singapore,,
100m Butterfly Men,Silver,Serbia,South Africa,United States,South Africa,Hungary
100m Butterfly Men,Bronze,Australia,Russia,,,
100m Butterfly Women,Gold,Australia,United States,Sweden,,
100m Butterfly Women,Silver,United States,China,Canada,,
100m Butterfly Women,Bronze,Australia,Australia,United States,,
100m Freestyle Men,Gold,France,United States,Australia,,
100m Freestyle Men,Silver,Australia,Australia,Belgium,,
100m Freestyle Men,Bronze,United States,Brazil,Canada,United States,
100m Freestyle Women,Gold,Germany,Netherlands,United States,,
100m Freestyle Women,Silver,Australia,Belarus,Canada,,
100m Freestyle Women,Bronze,United States,China,Sweden,,
1500m Freestyle Men,Gold,Tunisia,China,Italy,,
1500m Freestyle Men,Silver,Australia,Canada,United States,,
1500m Freestyle Men,Bronze,Canada,Tunisia,Italy,,
200m Backstroke Men,Gold,United States,United States,United States,,
200m Backstroke Men,Silver,United States,Japan,Australia,,
200m Backstroke Men,Bronze,Russia,United States,Russia,,
200m Backstroke Women,Gold,Zimbabwe,United States,United States,,
200m Backstroke Women,Silver,United States,Russia,Hungary,,
200m Backstroke Women,Bronze,Japan,United States,Canada,,
200m Breaststroke Men,Gold,Japan,Hungary,Kazakhstan,,
200m Breaststroke Men,Silver,Australia,Great Britain,United States,,
200m Breaststroke Men,Bronze,France,Japan,Russia,,
200m Breaststroke Women,Gold,United States,United States,Japan,,
200m Breaststroke Women,Silver,Australia,Japan,Russia,,
200m Breaststroke Women,Bronze,Norway,Russia,China,,
200m Butterfly Men,Gold,United States,South Africa,United States,,
200m Butterfly Men,Silver,Hungary,United States,Japan,,
200m Butterfly Men,Bronze,Japan,Japan,Hungary,,
200m Butterfly Women,Gold,China,China,Spain,,
200m Butterfly Women,Silver,China,Spain,Australia,,
200m Butterfly Women,Bronze,Australia,Japan,Japan,,
200m Freestyle Men,Gold,United States,France,China,,
200m Freestyle Men,Silver,South Korea,South Korea,South Africa,,
200m Freestyle Men,Bronze,United States,China,United States,,
200m Freestyle Women,Gold,Italy,United States,United States,,
200m Freestyle Women,Silver,Slovenia,France,Sweden,,
200m Freestyle Women,Bronze,China,Australia,Australia,,
200m Individual Medley Men,Gold,United States,United States,United States,,
200m Individual Medley Men,Silver,Hungary,United States,Japan,,
200m Individual Medley Men,Bronze,United States,Hungary,China,,
200m Individual Medley Women,Gold,Australia,China,Hungary,,
200m Individual Medley Women,Silver,Zimbabwe,Australia,Great Britain,,
200m Individual Medley Women,Bronze,United States,United States,United States,,
400m Freestyle Men,Gold,South Korea,China,Australia,,
400m Freestyle Men,Silver,China,South Korea,China,,
400m Freestyle Men,Bronze,United States,United States,Italy,,
400m Freestyle Women,Gold,Great Britain,France,United States,,
400m Freestyle Women,Silver,United States,United States,Great Britain,,
400m Freestyle Women,Bronze,Great Britain,Great Britain,United States,,
400m Individual Medley Men,Gold,United States,United States,Japan,,
400m Individual Medley Men,Silver,Hungary,Brazil,United States,,
400m Individual Medley Men,Bronze,United States,Japan,Japan,,
400m Individual Medley Women,Gold,Australia,China,Hungary,,
400m Individual Medley Women,Silver,Zimbabwe,United States,United States,,
400m Individual Medley Women,Bronze,United States,China,Spain,,
4x100m Freestyle Relay Men,Gold,United States,France,United States,,
4x100m Freestyle Relay Men,Silver,France,United States,France,,
4x100m Freestyle Relay Men,Bronze,Australia,Russia,Australia,,
4x100m Freestyle Relay Women,Gold,Netherlands,Australia,Australia,,
4x100m Freestyle Relay Women,Silver,United States,Netherlands,United States,,
4x100m Freestyle Relay Women,Bronze,Australia,United States,Canada,,
4x100m Medley Relay Men,Gold,United States,United States,United States,,
4x100m Medley Relay Men,Silver,Australia,Japan,Great Britain,,
4x100m Medley Relay Men,Bronze,Japan,Australia,Australia,,
4x100m Medley Relay Women,Gold,Australia,United States,United States,,
4x100m Medley Relay Women,Silver,United States,Australia,Australia,,
4x100m Medley Relay Women,Bronze,China,Japan,Denmark,,
4x200m Freestyle Relay Men,Gold,United States,United States,United States,,
4x200m Freestyle Relay Men,Silver,Russia,France,Great Britain,,
4x200m Freestyle Relay Men,Bronze,Australia,China,Japan,,
4x200m Freestyle Relay Women,Gold,Australia,United States,United States,,
4x200m Freestyle Relay Women,Silver,China,Australia,Australia,,
4x200m Freestyle Relay Women,Bronze,United States,France,Canada,,
50m Freestyle Men,Gold,Brazil,France,United States,,
50m Freestyle Men,Silver,France,United States,France,,
50m Freestyle Men,Bronze,France,Brazil,United States,,
50m Freestyle Women,Gold,Germany,Netherlands,Denmark,,
50m Freestyle Women,Silver,United States,Belarus,United States,,
50m Freestyle Women,Bronze,Australia,Netherlands,Belarus,,
800m Freestyle Women,Gold,Great Britain,United States,United States,,
800m Freestyle Women,Silver,Italy,Spain,Great Britain,,
800m Freestyle Women,Bronze,Denmark,Great Britain,Hungary,,
10km Open Water Men,Gold,Netherlands,Tunisia,Netherlands,,
10km Open Water Men,Silver,Great Britain,Germany,Greece,,
10km Open Water Men,Bronze,Germany,Canada,France,,
10km Open Water Women,Gold,Russia,Hungary,Netherlands,,
10km Open Water Women,Silver,Great Britain,United States,Italy,,
10km Open Water Women,Bronze,Great Britain,Italy,Brazil,,
Synchronized Duet Women,Gold,Russia,Russia,Russia,,
Synchronized Duet Women,Silver,Spain,Spain,China,,
Synchronized Duet Women,Bronze,Japan,China,Japan,,
Synchronized Team Women,Gold,Russia,Russia,Russia,,
Synchronized Team Women,Silver,Spain,China,China,,
Synchronized Team Women,Bronze,China,Spain,Japan,,
