Singles Men,Gold,Spain,Great Britain,Great Britain
Singles Men,Silver,Chile,Switzerland,Argentina
Singles Men,Bronze,Serbia,Argentina,Japan
Singles Women,Gold,Russia,United States,Puerto Rico
Singles Women,Silver,Russia,Russia,Germany
Singles Women,Bronze,Russia,Belarus,Czech Republic
Team Men,Gold,Switzerland,United States,Spain
Team Men,Silver,Sweden,France,Romania
Team Men,Bronze,United States,France,United States
Team Women,Gold,United States,United States,Russia
Team Women,Silver,Spain,Czech Republic,Switzerland
Team Women,Bronze,China,Russia,Czech Republic
