Bantamweight Men,Gold,China,North Korea,China
Bantamweight Men,Silver,Vietnam,China,North Korea
Bantamweight Men,Bronze,Indonesia,Vietnam,Thailand
Featherweight Men,Gold,China,North Korea,Colombia
Featherweight Men,Silver,Colombia,Colombia,Indonesia
Featherweight Men,Bronze,Indonesia,Indonesia,Kazakhstan
Lightweight Men,Gold,China,China,China
Lightweight Men,Silver,France,Indonesia,Turkey
Lightweight Men,Bronze,Cuba,North Korea,Colombia
Middleweight Men,Gold,South Korea,China,China
Middleweight Men,Silver,China,China,Egypt
Middleweight Men,Bronze,Armenia,Cuba,Thailand
Light Heavyweight Men,Gold,China,Poland,Iran
Light Heavyweight Men,Silver,Armenia,Iran,China
Light Heavyweight Men,Bronze,Cuba,Egypt,Kazakhstan
Middle Heavyweight Men,Gold,Poland,Iran,Iran
Middle Heavyweight Men,Silver,Georgia,South Korea,Belarus
Middle Heavyweight Men,Bronze,Cuba,Poland,Lithuania
Heavyweight Men,Gold,Belarus,Iran,Uzbekistan
Heavyweight Men,Silver,Russia,Poland,Armenia
Heavyweight Men,Bronze,Poland,Uzbekistan,Kazakhstan
Super Heavyweight Men,Gold,Germany,Iran,Georgia
Super Heavyweight Men,Silver,Russia,Iran,Armenia
Super Heavyweight Men,Bronze,Latvia,Russia,Georgia
Flyweight Women,Gold,Chinese Taipei,China,Thailand
Flyweight Women,Silver,South Korea,Japan,Indonesia
Flyweight Women,Bronze,Thailand,North Korea,Japan
Featherweight Women,Gold,Thailand,Chinese Taipei,Chinese Taipei
Featherweight Women,Silver,South Korea,Indonesia,Philippines
Featherweight Women,Bronze,Indonesia,Ukraine,South Korea
Lightweight Women,Gold,China,China,Thailand
Lightweight Women,Silver,North Korea,Thailand,Thailand
Lightweight Women,Bronze,Thailand,Thailand,Chinese Taipei
Middleweight Women,Gold,North Korea,Canada,China
Middleweight Women,Silver,Chinese Taipei,Bulgaria,North Korea
Middleweight Women,Bronze,Canada,Mexico,Kazakhstan
Light Heavyweight Women,Gold,Russia,North Korea,China
Light Heavyweight Women,Silver,Colombia,Kazakhstan,Kazakhstan
Light Heavyweight Women,Bronze,Egypt,Colombia,Egypt
Heavyweight Women,Gold,Kazakhstan,Spain,North Korea
Heavyweight Women,Silver,Spain,Egypt,Belarus
Heavyweight Women,Bronze,Mexico,Cameroon,Spain
Super Heavyweight Women,Gold,South Korea,China,China
Super Heavyweight Women,Silver,Samoa,Russia,North Korea
Super Heavyweight Women,Bronze,Nigeria,South Korea,United States
