Freestyle Bantamweight Men,Gold,United States,Russia,Georgia,,,
Freestyle Bantamweight Men,Silver,Japan,Georgia,Japan,,,
Freestyle Bantamweight Men,Bronze,Bulgaria,Russia,North Korea,Japan,Azerbaijan,Iran
Freestyle Featherweight Men,Gold,Russia,Azerbaijan,,,,
Freestyle Featherweight Men,Silver,Japan,Russia,,,,
Freestyle Featherweight Men,Bronze,Kyrgyzstan,Iran,United States,India,,
Freestyle Lightweight Men,Gold,Turkey,Japan,Russia,,,
Freestyle Lightweight Men,Silver,Ukraine,India,Azerbaijan,,,
Freestyle Lightweight Men,Bronze,Georgia,India,Kazakhstan,Cuba,Italy,Uzbekistan
Freestyle Welterweight Men,Gold,Russia,United States,Iran,,,
Freestyle Welterweight Men,Silver,Belarus,Iran,Russia,,,
Freestyle Welterweight Men,Bronze,Romania,Bulgaria,Hungary,Russia,Azerbaijan,Turkey
Freestyle Middleweight Men,Gold,Georgia,Azerbaijan,Russia,,,
Freestyle Middleweight Men,Silver,Tajikistan,Puerto Rico,Turkey,,,
Freestyle Middleweight Men,Bronze,Ukraine,Russia,Georgia,Iran,Azerbaijan,United States
Freestyle Heavyweight Men,Gold,Russia,United States,United States,,,
Freestyle Heavyweight Men,Silver,Georgia,Ukraine,Azerbaijan,,,
Freestyle Heavyweight Men,Bronze,Cuba,Azerbaijan,Georgia,Azerbaijan,Romania,Uzbekistan
Freestyle Super Heaveyweight Men,Gold,Russia,Iran,Russia,Turkey,,
Freestyle Super Heaveyweight Men,Silver,Slovakia,Iran,,,,
Freestyle Super Heaveyweight Men,Bronze,Cuba,Kazakhstan,United States,Kazakhstan,Belarus,Georgia
Greco-Roman Bantamweight Men,Gold,Russia,Iran,Cuba,,,
Greco-Roman Bantamweight Men,Silver,Azerbaijan,Azerbaijan,Japan,,,
Greco-Roman Bantamweight Men,Bronze,Armenia,South Korea,Hungary,Russia,Uzbekistan,Norway
Greco-Roman Featherweight Men,Gold,Russia,Iran,,,,
Greco-Roman Featherweight Men,Silver,Kazakhstan,Georgia,,,,
Greco-Roman Featherweight Men,Bronze,Kyrgyzstan,China,Russia,Japan,,
Greco-Roman Lightweight Men,Gold,France,South Korea,Serbia,,,
Greco-Roman Lightweight Men,Silver,Kyrgyzstan,Hungary,Armenia,,,
Greco-Roman Lightweight Men,Bronze,Ukraine,Belarus,Georgia,France,Georgia,Azerbaijan
Greco-Roman Welterweight Men,Gold,Georgia,Russia,Russia,,,
Greco-Roman Welterweight Men,Silver,China,Armenia,Denmark,,,
Greco-Roman Welterweight Men,Bronze,Bulgaria,France,Lithuania,Azerbaijan,South Korea,Iran
Greco-Roman Middleweight Men,Gold,Italy,Russia,Russia,,,
Greco-Roman Middleweight Men,Silver,Hungary,Egypt,Ukraine,,,
Greco-Roman Middleweight Men,Bronze,Turkey,Kazakhstan,Poland,Belarus,Germany,
Greco-Roman Heavyweight Men,Gold,Russia,Iran,Armenia,,,
Greco-Roman Heavyweight Men,Silver,Germany,Russia,Cuba,,,
Greco-Roman Heavyweight Men,Bronze,United States,Czech Republic,Armenia,Sweden,Turkey,Iran
Greco-Roman Super Heavyweight Men,Gold,Cuba,Cuba,Cuba,,,
Greco-Roman Super Heavyweight Men,Silver,Lithuania,Estonia,Turkey,,,
Greco-Roman Super Heavyweight Men,Bronze,France,Armenia,Turkey,Sweden,Azerbaijan,Russia
Freestyle Flyweight Women,Gold,Canada,Japan,Japan,,,
Freestyle Flyweight Women,Silver,Japan,Azerbaijan,Azerbaijan,,,
Freestyle Flyweight Women,Bronze,Azerbaijan,Ukraine,Canada,United States,China,Bulgaria
Freestyle Lightweight Women,Gold,Japan,Japan,Japan,,,
Freestyle Lightweight Women,Silver,China,Canada,Russia,,,
Freestyle Lightweight Women,Bronze,Canada,Colombia,Colombia,Azerbaijan,Tunisia,India
Freestyle Middleweight Women,Gold,Japan,Japan,Japan,,,
Freestyle Middleweight Women,Silver,Russia,China,Belarus,,,
Freestyle Middleweight Women,Bronze,Kazakhstan,United States,Mongolia,Russia,Kazakhstan,Poland
Freestyle Heavyweight Women,Gold,China,Russia,Japan,,,
Freestyle Heavyweight Women,Silver,Bulgaria,Bulgaria,Russia,,,
Freestyle Heavyweight Women,Bronze,Japan,Poland,Kazakhstan,Spain,Kazakhstan,Sweden
Freestyle Bantamweight Women,Gold,United States,,,,,
Freestyle Bantamweight Women,Silver,Japan,,,,,
Freestyle Bantamweight Women,Bronze,Azerbaijan,Sweden,,,,
Freestyle Super Heaveyweight Women,Gold,Canada,,,,,
Freestyle Super Heaveyweight Women,Silver,Kazakhstan,,,,,
Freestyle Super Heaveyweight Women,Bronze,China,Russia,,,,
